AC-1(a)(1),True,True,True
AC-1(a)(2),True,True,True
AC-1(b)(1),True,True,True
AC-1(b)(2),True,True,True
AC-2(a),True,True,True
AC-2(b),True,True,True
AC-2(c),True,True,True
AC-2(d),True,True,True
AC-2(e),True,True,True
AC-2(f),True,True,True
AC-2(g),True,True,True
AC-2(h)(1),True,True,True
AC-2(h)(2),True,True,True
AC-2(h)(3),True,True,True
AC-2(i)(1),True,True,True
AC-2(i)(2),True,True,True
AC-2(i)(3),True,True,True
AC-2(j),True,True,True
AC-2(k),True,True,True
AC-2 (1),False,True,True
AC-2 (2),False,True,True
AC-2 (3),False,True,True
AC-2 (4),False,True,True
AC-2 (5),False,False,True
AC-2 (11),False,False,True
AC-2 (12)(a),False,False,True
AC-2 (12)(b),False,False,True
AC-2 (13),False,False,True
AC-3,True,True,True
AC-4,False,True,True
AC-5(a),False,True,True
AC-5(b),False,True,True
AC-5(c),False,True,True
AC-6,False,True,True
AC-6 (1),False,True,True
AC-6 (2),False,True,True
AC-6 (3),False,False,True
AC-6 (5),False,True,True
AC-6 (9),False,True,True
AC-6 (10),False,True,True
AC-7(a),True,True,True
AC-7(b),True,True,True
AC-8(a)(1),True,True,True
AC-8(a)(2),True,True,True
AC-8(a)(3),True,True,True
AC-8(a)(4),True,True,True
AC-8(b),True,True,True
AC-8(c)(1),True,True,True
AC-8(c)(2),True,True,True
AC-8(c)(3),True,True,True
AC-10,False,False,True
AC-11(a),False,True,True
AC-11(b),False,True,True
AC-11 (1),False,True,True
AC-12,False,True,True
AC-14(a),True,True,True
AC-14(b),True,True,True
AC-17(a),True,True,True
AC-17(b),True,True,True
AC-17 (1),False,True,True
AC-17 (2),False,True,True
AC-17 (3),False,True,True
AC-17 (4)(a),False,True,True
AC-17 (4)(b),False,True,True
AC-18(a),True,True,True
AC-18(b),True,True,True
AC-18 (1),False,True,True
AC-18 (4),False,False,True
AC-18 (5),False,False,True
AC-19(a),True,True,True
AC-19(b),True,True,True
AC-19 (5),False,True,True
AC-20(a),True,True,True
AC-20(b),True,True,True
AC-20 (1)(a),False,True,True
AC-20 (1)(b),False,True,True
AC-20 (2),False,True,True
AC-21(a),False,True,True
